   n, quick_cmp, quick_swaps, quick_time
 701,     11181,        2068,       6004
 702,     11043,        2057,       6006
 703,     11509,        2055,       6505
 704,     10848,        2076,       6005
 705,     11185,        2079,       6505
 706,     11698,        2049,       6505
 707,     11610,        2061,       6505
 708,     11609,        2068,       6505
 709,     11330,        2115,       6505
 710,     11428,        2106,       6505
 711,     11618,        2094,       6005
 712,     11673,        2055,       6505
 713,     11688,        2056,       7006
 714,     10960,        2116,       6005
 715,     11642,        2089,       6005
 716,     11253,        2094,       6004
 717,     12433,        2087,       6505
 718,     11341,        2105,       6005
 719,     11559,        2101,       6004
 720,     11268,        2127,       6505
 721,     11514,        2134,       6505
 722,     12102,        2116,       6505
 723,     11967,        2073,       6505
 724,     11346,        2136,       6004
 725,     11967,        2121,       6505
 726,     11736,        2149,       6505
 727,     12178,        2119,       6505
 728,     11609,        2103,       6505
 729,     11830,        2138,       6505
 730,     12041,        2130,       7006
 731,     11128,        2158,       6505
 732,     11815,        2142,       6505
 733,     12000,        2152,       6505
 734,     11579,        2183,       6505
 735,     11803,        2161,       6505
 736,     12385,        2131,       6505
 737,     12207,        2170,       7006
 738,     11871,        2197,       6504
 739,     12268,        2205,       6505
 740,     12144,        2170,       6505
 741,     11470,        2246,       6505
 742,     11633,        2207,       6505
 743,     11677,        2180,       6005
 744,     12350,        2201,       6505
 745,     11820,        2188,       6505
 746,     11610,        2191,       6505
 747,     12047,        2205,       7006
 748,     11971,        2204,       7005
 749,     12617,        2197,       7006
 750,     11972,        2207,       6505
 751,     12377,        2223,       6505
 752,     12424,        2239,       7005
 753,     12169,        2250,       7005
 754,     12128,        2231,       6505
 755,     12204,        2203,       6505
 756,     12246,        2254,       7005
 757,     12548,        2288,       7005
 758,     12133,        2240,       6505
 759,     11931,        2265,       6504
 760,     13057,        2209,       7006
 761,     12871,        2249,       7005
 762,     12791,        2225,       7005
 763,     12563,        2218,       7006
 764,     12668,        2281,       7006
 765,     12870,        2270,       7007
 766,     12588,        2271,       7004
 767,     12732,        2246,       7006
 768,     12558,        2270,       7006
 769,     12516,        2293,       7006
 770,     12497,        2258,       6505
 771,     12828,        2271,       7006
 772,     12758,        2293,       7006
 773,     12903,        2296,       7505
 774,     12821,        2293,       7006
 775,     12466,        2301,       7004
 776,     12816,        2318,       7006
 777,     12919,        2303,       7506
 778,     12834,        2305,       7005
 779,     12748,        2316,       7006
 780,     12416,        2314,       7005
 781,     12478,        2354,       7006
 782,     12740,        2348,       7506
