   n, insertion_cmp, insertion_swaps, insertion_time
 680,          1011,             333,           1000
 681,          1012,             333,            500
 682,          1013,             333,            500
 683,          1014,             333,            500
 684,          1015,             333,           1000
 685,          1016,             333,           1000
 686,          1018,             334,            500
 687,          1021,             336,            500
 688,          1023,             337,            500
 689,          1025,             338,            500
 690,          1026,             338,           1000
 691,          1027,             338,           1000
 692,          1028,             338,            500
 693,          1030,             339,            500
 694,          1031,             339,           1000
 695,          1035,             342,            500
 696,          1036,             342,            500
 697,          1037,             342,            500
 698,          1038,             342,            499
 699,          1040,             343,            500
 700,          1043,             345,           1000
 701,          1044,             345,           1000
 702,          1049,             349,           1000
 703,          1050,             349,            500
 704,          1051,             349,            500
 705,          1052,             349,            499
 706,          1055,             351,            500
 707,          1056,             351,            499
 708,          1058,             352,            500
 709,          1059,             352,            500
 710,          1060,             352,           1000
 711,          1061,             352,            499
 712,          1062,             352,           1000
 713,          1063,             352,           1000
 714,          1065,             353,           1001
 715,          1068,             355,           1000
 716,          1069,             355,           1001
 717,          1070,             355,           1000
 718,          1071,             355,           1000
 719,          1072,             355,           1001
 720,          1073,             355,            500
 721,          1074,             355,            500
 722,          1075,             355,            500
 723,          1077,             356,            500
 724,          1078,             356,            500
 725,          1079,             356,            500
 726,          1080,             356,            500
 727,          1081,             356,            500
 728,          1082,             356,            500
 729,          1083,             356,            500
 730,          1084,             356,            500
 731,          1085,             356,           1000
 732,          1086,             356,           1000
 733,          1087,             356,           1001
 734,          1089,             357,           1001
 735,          1090,             357,           1000
 736,          1091,             357,           1000
 737,          1092,             357,           1000
 738,          1094,             358,           1000
 739,          1097,             360,           1000
 740,          1102,             364,           1001
 741,          1103,             364,           1000
 742,          1104,             364,           1001
 743,          1105,             364,           1000
 744,          1106,             364,           1001
 745,          1109,             366,           1000
 746,          1113,             369,            499
 747,          1116,             371,            500
 748,          1117,             371,            500
 749,          1118,             371,            500
 750,          1119,             371,            500
 751,          1121,             372,            500
 752,          1122,             372,            500
 753,          1123,             372,            499
 754,          1125,             373,           1000
 755,          1127,             374,           1001
 756,          1130,             376,           1000
 757,          1131,             376,           1000
 758,          1132,             376,           1001
 759,          1133,             376,           1002
 760,          1135,             377,            999
 761,          1136,             377,            500
 762,          1140,             380,            500
 763,          1142,             381,            500
 764,          1143,             381,            499
 765,          1144,             381,            500
 766,          1145,             381,            500
 767,          1146,             381,           1001
 768,          1149,             383,           1000
 769,          1151,             384,           1000
 770,          1152,             384,           1000
 771,          1153,             384,            499
 772,          1154,             384,            500
 773,          1156,             385,            499
 774,          1159,             387,            500
 775,          1160,             387,           1000
 776,          1161,             387,           1000
