    n, bubble_cmp, bubble_swaps, bubble_time
  255,      32131,        17383,       23019
  256,      32385,        17572,       24019
  257,      32640,        17785,       23520
  258,      32896,        17851,       24020
  259,      33153,        18075,       24020
  260,      33411,        18205,       24020
  261,      33670,        18234,       24020
  262,      33930,        18237,       25021
  263,      34191,        18356,       25021
  264,      34453,        18395,       25021
  265,      34716,        18444,       25522
  266,      34980,        18465,       25521
  267,      35245,        18482,       26522
  268,      35511,        18505,       25521
  269,      35778,        18684,       25521
  270,      36046,        18870,       25521
  271,      36315,        19138,       26522
  272,      36585,        19139,       27023
  273,      36856,        19173,       26022
  274,      37128,        19423,       26022
  275,      37401,        19673,       26522
  276,      37675,        19798,       27023
  277,      37950,        20010,       27523
  278,      38226,        20119,       27523
  279,      38503,        20228,       30525
  280,      38781,        20256,       28524
  281,      39060,        20523,       28024
  282,      39340,        20619,       28024
  283,      39621,        20782,       29024
  284,      39903,        20878,       28524
  285,      40186,        21034,       28524
  286,      40470,        21094,       29525
  287,      40755,        21258,       29525
  288,      41041,        21371,       30025
  289,      41328,        21452,       29525
  290,      41616,        21738,       29525
  291,      41905,        21793,       30026
  292,      42195,        21946,       30525
  293,      42486,        22193,       30526
  294,      42778,        22403,       31027
  295,      43071,        22506,       31526
  296,      43365,        22756,       31527
  297,      43660,        22804,       32027
  298,      43956,        23075,       31527
  299,      44253,        23253,       32528
  300,      44551,        23521,       33528
  301,      44850,        23706,       33028
  302,      45150,        23798,       33028
  303,      45451,        23889,       33528
  304,      45753,        23914,       33529
  305,      46056,        24109,       33528
  306,      46360,        24341,       34030
  307,      46665,        24624,       33528
  308,      46971,        24791,       34530
  309,      47278,        24874,       35029
  310,      47586,        25033,       34530
  311,      47895,        25175,       36531
  312,      48205,        25183,       35029
  313,      48516,        25405,       34530
  314,      48828,        25480,       35030
  315,      49141,        25687,       36030
  316,      49455,        25887,       35530
  317,      49770,        25949,       36030
  318,      50086,        26055,       37032
  319,      50403,        26134,       36030
  320,      50721,        26209,       36031
  321,      51040,        26488,       37533
  322,      51360,        26736,       37032
  323,      51681,        26884,       37030
  324,      52003,        26955,       38033
  325,      52326,        26969,       37032
  326,      52650,        27049,       37531
  327,      52975,        27132,       38533
  328,      53301,        27211,       39534
  329,      53628,        27521,       38532
  330,      53956,        27669,       38533
  331,      54285,        27869,       39033
  332,      54615,        28079,       39533
  333,      54946,        28243,       39533
  334,      55278,        28244,       40034
  335,      55611,        28295,       39534
  336,      55945,        28426,       39534
  337,      56280,        28745,       40534
  338,      56616,        28831,       40034
  339,      56953,        28874,       41035
  340,      57291,        28986,       40034
  341,      57630,        29173,       41535
  342,      57970,        29353,       42036
  343,      58311,        29418,       42035
  344,      58653,        29579,       41034
  345,      58996,        29908,       42536
  346,      59340,        30082,       42536
  347,      59685,        30259,       42536
  348,      60031,        30295,       43536
  349,      60378,        30466,       43036
  350,      60726,        30526,       43037
  351,      61075,        30854,       44037
  352,      61425,        31077,       43536
  353,      61776,        31396,       44037
  354,      62128,        31577,       44537
  355,      62481,        31609,       44537
  356,      62835,        31777,       45038
  357,      63190,        32102,       44538
  358,      63546,        32287,       45038
  359,      63903,        32293,       45038
  360,      64261,        32584,       46040
  361,      64620,        32905,       46038
  362,      64980,        33017,       46039
  363,      65341,        33315,       46039
  364,      65703,        33497,       47039
  365,      66066,        33518,       47040
  366,      66430,        33740,       47040
  367,      66795,        33935,       47040
  368,      67161,        34260,       48541
  369,      67528,        34302,       48041
  370,      67896,        34336,       49042
  371,      68265,        34561,       48542
  372,      68635,        34589,       50543
  373,      69006,        34762,       48541
  374,      69378,        35014,       49042
  375,      69751,        35303,       49543
  376,      70125,        35343,       50043
  377,      70500,        35380,       50042
  378,      70876,        35408,       49542
  379,      71253,        35454,       52545
  380,      71631,        35773,       51043
  381,      72010,        36056,       52044
  382,      72390,        36151,       53045
  383,      72771,        36338,       51544
  384,      73153,        36698,       52044
  385,      73536,        36842,       52045
  386,      73920,        37122,       52545
  387,      74305,        37325,       52545
  388,      74691,        37620,       53044
  389,      75078,        37849,       53546
  390,      75466,        37963,       54046
  391,      75855,        37981,       54046
  392,      76245,        38180,       54547
  393,      76636,        38355,       54546
  394,      77028,        38398,       55547
  395,      77421,        38727,       55047
  396,      77815,        39013,       56548
  397,      78210,        39367,       56048
  398,      78606,        39673,       56048
  399,      79003,        40021,       56548
  400,      79401,        40222,       57550
  401,      79800,        40595,       58048
  402,      80200,        40866,       57048
  403,      80601,        40947,       59551
  404,      81003,        40981,       58050
  405,      81406,        41136,       57549
  406,      81810,        41499,       58049
  407,      82215,        41608,       59050
  408,      82621,        41762,       60552
  409,      83028,        42075,       60051
  410,      83436,        42092,       63053
  411,      83845,        42326,       61552
  412,      84255,        42334,       62052
  413,      84666,        42635,       61552
  414,      85078,        43032,       60552
  415,      85491,        43205,       60552
  416,      85905,        43363,       60551
  417,      86320,        43645,       62553
  418,      86736,        43793,       62553
  419,      87153,        43942,       62053
  420,      87571,        44030,       62052
  421,      87990,        44397,       63054
  422,      88410,        44645,       64053
  423,      88831,        45029,       64054
  424,      89253,        45270,       64055
  425,      89676,        45482,       64556
  426,      90100,        45830,       65055
  427,      90525,        46238,       66556
  428,      90951,        46499,       68058
  429,      91378,        46613,       67057
  430,      91806,        46865,       66056
  431,      92235,        47113,       66056
  432,      92665,        47423,       67057
  433,      93096,        47676,       66556
  434,      93528,        47718,       67057
  435,      93961,        47739,       67558
  436,      94395,        47971,       67557
  437,      94830,        48064,       68058
  438,      95266,        48347,       68058
  439,      95703,        48623,       70561
  440,      96141,        48751,       69560
  441,      96580,        48883,       70059
  442,      97020,        49203,       69560
  443,      97461,        49475,       70060
  444,      97903,        49501,       70560
  445,      98346,        49760,       71561
  446,      98790,        50167,       71060
  447,      99235,        50347,       71060
  448,      99681,        50723,       72062
  449,     100128,        50871,       72061
  450,     100576,        50925,       72561
  451,     101025,        50955,       75064
  452,     101475,        50961,       72562
  453,     101926,        51074,       73563
  454,     102378,        51488,       75063
  455,     102831,        51733,       74064
  456,     103285,        52145,       75063
  457,     103740,        52458,       75064
  458,     104196,        52542,       76065
  459,     104653,        52570,       76565
  460,     105111,        52745,       77065
  461,     105570,        53031,       78067
  462,     106030,        53199,       77567
  463,     106491,        53481,       78567
  464,     106953,        53582,       78067
  465,     107416,        53715,       79066
  466,     107880,        53967,       79069
  467,     108345,        54087,       78065
  468,     108811,        54386,       81570
  469,     109278,        54426,       79568
  470,     109746,        54631,       81069
  471,     110215,        54754,       80569
  472,     110685,        54909,       80569
  473,     111156,        54983,       80068
  474,     111628,        55154,       80569
  475,     112101,        55580,       81069
  476,     112575,        55978,       81570
  477,     113050,        56254,       81570
  478,     113526,        56439,       83071
  479,     114003,        56752,       82571
  480,     114481,        57149,       83571
  481,     114960,        57568,       85073
  482,     115440,        57902,       84072
  483,     115921,        58268,       85072
  484,     116403,        58627,       85573
  485,     116886,        58773,       85574
  486,     117370,        59061,       85572
  487,     117855,        59265,       85573
  488,     118341,        59322,       86074
  489,     118828,        59760,       86575
  490,     119316,        60185,       87074
  491,     119805,        60576,       87574
  492,     120295,        60627,       88577
  493,     120786,        61111,       89076
  494,     121278,        61212,       89076
  495,     121771,        61399,       92078
  496,     122265,        61523,       90078
  497,     122760,        61952,       90576
  498,     123256,        61974,       90579
  499,     123753,        62132,       90076
  500,     124251,        62340,       90579
  501,     124750,        62668,       90577
  502,     125250,        63111,       91077
  503,     125751,        63549,       91579
  504,     126253,        63653,       92578
  505,     126756,        63685,       93080
  506,     127260,        63702,       94079
  507,     127765,        63810,       93079
  508,     128271,        63865,       94581
  509,     128778,        64226,       93580
  510,     129286,        64539,       93580
  511,     129795,        64882,       94080
  512,     130305,        64911,       94582
  513,     130816,        65105,       95080
  514,     131328,        65254,       95080
  515,     131841,        65381,       96082
  516,     132355,        65855,       96583
  517,     132870,        66276,       97083
  518,     133386,        66497,       98083
  519,     133903,        66691,       97082
  520,     134421,        67041,       97585
  521,     134940,        67420,       98084
  522,     135460,        67652,       98083
  523,     135981,        67879,       99085
