   n, heap_cmp, heap_swaps, heap_time
 422,     6325,       3559,      4003
 423,     6341,       3566,      4003
 424,     6358,       3577,      4004
 425,     6378,       3586,      4503
 426,     6395,       3599,      4003
 427,     6410,       3604,      4003
 428,     6430,       3620,      4003
 429,     6446,       3625,      4503
 430,     6465,       3634,      4003
 431,     6486,       3648,      4504
 432,     6503,       3650,      4503
 433,     6517,       3662,      4003
 434,     6535,       3676,      4003
 435,     6554,       3684,      4004
 436,     6571,       3693,      4502
 437,     6587,       3702,      4003
 438,     6605,       3714,      4003
 439,     6625,       3726,      4503
 440,     6642,       3735,      4003
 441,     6660,       3735,      4003
 442,     6676,       3754,      4503
 443,     6695,       3762,      4503
 444,     6716,       3775,      4503
 445,     6727,       3778,      4504
 446,     6749,       3792,      4503
 447,     6765,       3803,      4503
 448,     6779,       3814,      4003
 449,     6800,       3822,      4504
 450,     6819,       3832,      4503
 451,     6833,       3839,      4503
 452,     6851,       3851,      4503
 453,     6866,       3860,      4504
 454,     6884,       3868,      4503
 455,     6907,       3880,      4003
 456,     6922,       3891,      4003
 457,     6942,       3900,      4502
 458,     6957,       3910,      4503
 459,     6974,       3919,      4503
 460,     6991,       3928,      4504
 461,     7012,       3938,      4503
 462,     7026,       3948,      4503
 463,     7046,       3958,      4504
 464,     7058,       3962,      4503
 465,     7077,       3968,      4003
 466,     7100,       3985,      4504
 467,     7119,       3997,      4503
 468,     7130,       4004,      4504
 469,     7149,       4015,      4504
 470,     7167,       4029,      4503
 471,     7191,       4041,      4504
 472,     7198,       4045,      4504
 473,     7218,       4053,      5003
 474,     7238,       4064,      4503
 475,     7259,       4079,      5004
 476,     7269,       4082,      4503
 477,     7291,       4096,      4504
 478,     7311,       4110,      5003
 479,     7325,       4111,      5004
 480,     7337,       4121,      5003
 481,     7358,       4130,      5004
 482,     7374,       4139,      4503
 483,     7394,       4143,      4503
 484,     7409,       4155,      4503
 485,     7428,       4161,      4503
 486,     7448,       4179,      5004
 487,     7467,       4188,      5003
 488,     7479,       4200,      5004
 489,     7497,       4204,      5004
 490,     7514,       4216,      5004
 491,     7533,       4224,      5004
 492,     7546,       4228,      5003
 493,     7567,       4243,      5004
 494,     7590,       4258,      5004
 495,     7604,       4269,      5004
 496,     7619,       4272,      5003
 497,     7632,       4279,      5004
 498,     7654,       4293,      6505
 499,     7671,       4301,      5004
 500,     7692,       4312,      5004
 501,     7709,       4323,      5004
 502,     7728,       4332,      5004
 503,     7744,       4340,      5004
 504,     7762,       4352,      5004
 505,     7784,       4361,      5004
 506,     7796,       4373,      5003
 507,     7819,       4382,      4503
 508,     7833,       4390,      5004
 509,     7856,       4406,      5003
 510,     7861,       4415,      5004
 511,     7886,       4421,      5003
 512,     7900,       4430,      5003
 513,     7923,       4442,      5004
 514,     7936,       4441,      5005
 515,     7957,       4453,      5503
 516,     7979,       4472,      5004
 517,     8001,       4480,      5004
 518,     8022,       4495,      5504
 519,     8039,       4503,      5504
 520,     8053,       4513,      5005
 521,     8072,       4524,      5004
 522,     8101,       4539,      5504
 523,     8120,       4550,      5005
 524,     8141,       4565,      5004
 525,     8158,       4567,      5504
 526,     8175,       4578,      5504
 527,     8201,       4594,      5504
 528,     8217,       4603,      5504
 529,     8241,       4617,      5504
 530,     8257,       4626,      5504
 531,     8268,       4630,      5505
 532,     8290,       4644,      5504
 533,     8310,       4653,      5504
 534,     8329,       4666,      5504
 535,     8351,       4673,      5504
 536,     8358,       4678,      5004
 537,     8386,       4690,      5504
 538,     8410,       4707,      5504
 539,     8431,       4723,      5504
 540,     8448,       4730,      5505
 541,     8472,       4745,      5504
