   n, heap_cmp, heap_swaps, heap_time
 895,    15413,       8537,     10008
 896,    15436,       8550,     10008
 897,    15449,       8560,     10008
 898,    15471,       8572,     10008
 899,    15490,       8586,      9508
 900,    15510,       8593,     10009
 901,    15532,       8606,     10007
 902,    15544,       8614,      9507
 903,    15574,       8628,     10008
 904,    15589,       8636,     10508
 905,    15607,       8647,     10008
 906,    15627,       8654,     10008
 907,    15650,       8669,     10008
 908,    15670,       8680,     10008
 909,    15691,       8694,     10508
 910,    15706,       8697,     10009
 911,    15730,       8707,      9507
 912,    15747,       8716,     10008
 913,    15758,       8723,     10009
 914,    15783,       8736,     10008
 915,    15810,       8755,     10008
 916,    15830,       8764,     10008
 917,    15848,       8776,     10007
 918,    15872,       8789,     10008
 919,    15885,       8800,     10008
 920,    15902,       8812,     10009
 921,    15918,       8810,     10508
 922,    15945,       8829,     10509
 923,    15968,       8846,     10008
 924,    15979,       8848,     10508
 925,    16001,       8859,     10509
 926,    16026,       8880,     10509
 927,    16041,       8883,     10008
 928,    16059,       8894,     10008
 929,    16079,       8901,     10009
 930,    16101,       8912,     10008
 931,    16119,       8923,     10009
 932,    16136,       8928,     10508
 933,    16160,       8942,     10509
 934,    16180,       8957,     10509
 935,    16200,       8965,     10508
 936,    16212,       8969,     10508
 937,    16236,       8989,     10509
 938,    16254,       9000,     10509
 939,    16276,       9012,     10508
 940,    16297,       9022,     11509
 941,    16316,       9031,     10508
 942,    16335,       9042,     10008
 943,    16358,       9053,     10509
 944,    16371,       9057,     10509
 945,    16391,       9068,     10508
 946,    16413,       9084,     10509
 947,    16430,       9096,     11009
 948,    16451,       9103,     11010
 949,    16472,       9118,     11009
 950,    16494,       9128,     10508
 951,    16510,       9140,     10509
 952,    16530,       9151,     11009
 953,    16550,       9154,     11009
 954,    16565,       9162,     10508
 955,    16588,       9178,     10507
 956,    16606,       9193,     10509
 957,    16626,       9201,     11010
 958,    16652,       9217,     11009
 959,    16670,       9218,     11009
 960,    16690,       9234,     10509
 961,    16715,       9245,     10509
 962,    16727,       9248,     11008
 963,    16756,       9266,     11009
 964,    16761,       9262,     10509
 965,    16787,       9286,     11008
 966,    16810,       9291,     11009
 967,    16821,       9303,     10508
 968,    16848,       9315,     11009
 969,    16865,       9323,     11009
 970,    16885,       9335,     10509
 971,    16905,       9345,     10509
 972,    16917,       9356,     11509
 973,    16939,       9367,     11009
 974,    16962,       9372,     11009
 975,    16976,       9385,     11009
 976,    16999,       9390,     11010
 977,    17023,       9402,     11008
 978,    17032,       9419,     11009
 979,    17048,       9427,     11009
 980,    17068,       9437,     11010
 981,    17092,       9451,     11008
 982,    17112,       9466,     11510
 983,    17144,       9480,     11010
 984,    17155,       9483,     11511
 985,    17176,       9494,     11010
 986,    17197,       9513,     11009
 987,    17212,       9516,     11508
 988,    17242,       9534,     11510
 989,    17253,       9535,     11009
 990,    17281,       9556,     11008
 991,    17294,       9557,     11009
 992,    17310,       9567,     11010
 993,    17330,       9580,     11510
 994,    17350,       9591,     11008
 995,    17385,       9611,     11009
 996,    17392,       9611,     11009
 997,    17412,       9624,     11510
 998,    17438,       9641,     11009
 999,    17439,       9648,     11510
1000,    17469,       9661,     11009
