    n, heap_cmp, heap_swaps, heap_time
 5182,   116565,      63025,     73062
 5183,   116596,      63044,     73563
 5184,   116633,      63073,     73564
 5185,   116655,      63084,     74563
 5186,   116675,      63096,     73563
 5187,   116706,      63105,     74063
 5188,   116735,      63123,     73062
 5189,   116758,      63131,     73563
 5190,   116787,      63147,     73062
 5191,   116816,      63163,     74564
 5192,   116841,      63175,     73563
 5193,   116864,      63180,     73564
 5194,   116893,      63200,     74063
 5195,   116912,      63210,     74063
 5196,   116938,      63231,     74564
 5197,   116970,      63237,     74064
 5198,   116988,      63253,     74564
 5199,   117019,      63267,     75065
 5200,   117046,      63290,     75064
 5201,   117075,      63306,     75566
 5202,   117098,      63318,     74063
 5203,   117119,      63326,     75064
 5204,   117150,      63362,     74564
 5205,   117176,      63360,     75564
 5206,   117202,      63374,     74564
 5207,   117234,      63386,     74064
 5208,   117246,      63404,     74063
 5209,   117286,      63419,     74063
 5210,   117292,      63418,     74063
 5211,   117330,      63435,     74064
 5212,   117352,      63454,     73562
 5213,   117387,      63467,     73563
 5214,   117411,      63485,     75064
 5215,   117434,      63499,     74564
 5216,   117451,      63505,     74564
 5217,   117489,      63522,     74064
 5218,   117511,      63539,     73563
 5219,   117526,      63547,     74564
 5220,   117560,      63570,     75064
 5221,   117572,      63565,     75065
 5222,   117610,      63587,     75064
 5223,   117638,      63601,     73563
 5224,   117650,      63608,     74563
 5225,   117680,      63624,     73563
 5226,   117713,      63644,     74063
 5227,   117735,      63658,     74564
 5228,   117756,      63674,     75064
 5229,   117778,      63677,     73563
 5230,   117811,      63697,     74063
 5231,   117853,      63719,     74064
 5232,   117853,      63727,     74564
 5233,   117889,      63748,     75564
 5234,   117902,      63749,     78067
 5235,   117935,      63770,     75064
 5236,   117969,      63793,     75064
 5237,   117998,      63798,     74564
 5238,   118029,      63821,     74564
 5239,   118054,      63824,     76565
 5240,   118070,      63839,     74564
 5241,   118100,      63866,     75065
 5242,   118122,      63869,     75063
 5243,   118156,      63872,     75065
 5244,   118169,      63893,     75565
 5245,   118201,      63906,     75564
 5246,   118236,      63932,     75565
 5247,   118258,      63950,     75064
 5248,   118285,      63959,     74563
 5249,   118288,      63951,     76065
 5250,   118318,      63974,     75065
 5251,   118358,      63994,     74564
 5252,   118378,      63997,     75064
 5253,   118408,      64011,     75565
 5254,   118437,      64029,     75064
 5255,   118459,      64053,     75063
 5256,   118484,      64066,     74563
 5257,   118506,      64080,     75064
 5258,   118533,      64095,     75564
 5259,   118547,      64102,     75063
 5260,   118584,      64113,     76566
 5261,   118608,      64128,     75564
 5262,   118634,      64143,     75064
 5263,   118665,      64155,     74563
 5264,   118686,      64169,     74564
 5265,   118715,      64188,     75067
 5266,   118744,      64207,     75063
 5267,   118767,      64217,     75564
 5268,   118790,      64232,     74564
 5269,   118826,      64247,     74063
 5270,   118843,      64252,     74063
 5271,   118868,      64260,     75064
 5272,   118894,      64278,     74564
 5273,   118921,      64297,     75565
 5274,   118946,      64309,     79568
 5275,   118970,      64327,     77066
 5276,   118992,      64337,     75064
 5277,   119030,      64356,     75064
 5278,   119049,      64360,     75564
 5279,   119077,      64375,     75065
 5280,   119101,      64391,     75063
 5281,   119133,      64407,     75564
 5282,   119154,      64421,     75565
 5283,   119180,      64431,     75564
 5284,   119210,      64456,     75565
 5285,   119236,      64465,     77566
 5286,   119262,      64480,     77066
 5287,   119283,      64495,     75566
 5288,   119294,      64497,     75566
 5289,   119345,      64529,     75065
 5290,   119343,      64512,     75064
 5291,   119384,      64535,     75564
 5292,   119415,      64562,     75564
 5293,   119433,      64561,     75565
 5294,   119466,      64584,     76566
 5295,   119491,      64594,     75565
 5296,   119518,      64614,     75064
 5297,   119541,      64624,     76065
 5298,   119560,      64637,     75064
 5299,   119585,      64642,     75565
 5300,   119619,      64670,     76565
 5301,   119637,      64673,     75565
 5302,   119662,      64688,     77566
 5303,   119696,      64709,     75565
 5304,   119722,      64726,     76065
 5305,   119744,      64736,     79067
 5306,   119771,      64756,     76064
 5307,   119797,      64758,     76065
 5308,   119821,      64769,     75564
 5309,   119846,      64786,     76565
 5310,   119873,      64804,     76565
 5311,   119904,      64823,     75565
 5312,   119931,      64838,     78066
 5313,   119948,      64846,     78067
 5314,   119965,      64854,     75564
 5315,   120001,      64878,     75063
 5316,   120031,      64892,     77065
 5317,   120052,      64907,     76065
 5318,   120072,      64907,     75564
 5319,   120102,      64929,     77066
 5320,   120132,      64949,     79067
 5321,   120153,      64954,     77567
 5322,   120188,      64971,     76065
 5323,   120207,      64986,     78067
 5324,   120235,      65001,     77565
 5325,   120257,      65017,     76065
 5326,   120279,      65031,     76565
 5327,   120306,      65034,     75565
 5328,   120322,      65037,     75565
 5329,   120358,      65064,     76566
 5330,   120373,      65079,     77566
 5331,   120404,      65089,     75565
 5332,   120429,      65104,     76565
 5333,   120464,      65117,     76065
 5334,   120484,      65135,     76065
 5335,   120511,      65146,     77066
 5336,   120541,      65165,     76565
 5337,   120566,      65173,     76065
 5338,   120590,      65192,     76565
 5339,   120616,      65204,     77567
 5340,   120640,      65226,     77567
 5341,   120665,      65227,     76566
 5342,   120695,      65249,     76065
 5343,   120719,      65259,     77066
 5344,   120746,      65277,     76065
 5345,   120769,      65286,     76565
 5346,   120791,      65296,     76065
 5347,   120822,      65317,     76566
 5348,   120850,      65330,     76065
 5349,   120871,      65343,     76565
 5350,   120897,      65357,     78066
 5351,   120931,      65372,     76566
 5352,   120958,      65399,     77066
 5353,   120976,      65407,     76064
 5354,   120999,      65411,     77565
 5355,   121036,      65434,     76064
 5356,   121056,      65442,     77066
 5357,   121082,      65455,     77066
 5358,   121105,      65476,     76065
 5359,   121133,      65482,     76066
 5360,   121153,      65495,     77566
 5361,   121182,      65505,     78067
 5362,   121204,      65517,     77065
 5363,   121219,      65524,     77066
 5364,   121249,      65549,     77567
 5365,   121278,      65561,     77566
 5366,   121310,      65582,     77567
 5367,   121337,      65593,     76565
 5368,   121354,      65605,     76565
 5369,   121374,      65611,     76065
 5370,   121413,      65635,     77066
 5371,   121446,      65652,     76566
 5372,   121466,      65660,     76064
 5373,   121473,      65665,     76565
 5374,   121520,      65701,     77566
 5375,   121543,      65700,     76565
 5376,   121554,      65717,     77065
 5377,   121592,      65727,     77065
 5378,   121609,      65737,     77066
 5379,   121640,      65749,     77066
 5380,   121654,      65748,     76566
 5381,   121692,      65775,     76565
 5382,   121715,      65790,     76565
 5383,   121742,      65812,     76565
 5384,   121759,      65819,     77065
 5385,   121791,      65833,     76065
 5386,   121814,      65845,     78567
 5387,   121836,      65856,     77065
 5388,   121853,      65857,     77066
 5389,   121903,      65896,     77567
 5390,   121926,      65911,     78067
 5391,   121948,      65920,     76566
 5392,   121974,      65937,     77066
 5393,   122001,      65944,     76065
 5394,   122016,      65953,     78567
 5395,   122035,      65966,     78568
 5396,   122072,      65984,     76565
 5397,   122101,      65997,     76065
 5398,   122132,      66019,     76065
 5399,   122151,      66019,     76565
 5400,   122164,      66025,     76565
 5401,   122198,      66048,     76565
 5402,   122222,      66067,     77066
 5403,   122254,      66078,     78567
 5404,   122274,      66099,     77066
 5405,   122302,      66112,     77567
 5406,   122321,      66109,     76565
 5407,   122364,      66140,     79068
 5408,   122387,      66156,     77066
 5409,   122406,      66164,     77065
 5410,   122434,      66181,     78067
 5411,   122462,      66195,     76565
 5412,   122488,      66212,     78567
 5413,   122518,      66215,     77566
 5414,   122532,      66228,     77566
 5415,   122564,      66248,     80069
 5416,   122592,      66269,     77565
 5417,   122613,      66268,     77565
 5418,   122642,      66289,     77066
 5419,   122662,      66297,     77065
 5420,   122690,      66313,     77066
 5421,   122719,      66324,     77065
 5422,   122739,      66342,     76565
 5423,   122770,      66359,     76566
 5424,   122793,      66370,     76565
 5425,   122819,      66379,     77566
 5426,   122843,      66394,     77066
 5427,   122875,      66406,     77066
 5428,   122900,      66432,     79067
 5429,   122925,      66436,     77566
 5430,   122952,      66457,     78066
 5431,   122979,      66470,     77566
 5432,   122997,      66490,     80570
 5433,   123023,      66480,     79067
 5434,   123051,      66510,     79068
 5435,   123071,      66511,     78067
 5436,   123094,      66539,     79568
 5437,   123125,      66541,     77567
 5438,   123153,      66559,     77065
 5439,   123193,      66577,     77566
 5440,   123205,      66593,     78567
