     n, quick_cmp, quick_swaps, quick_time
   932,     16000,        2881,       8507
   933,     15369,        2844,       8006
   934,     15540,        2853,       8507
   935,     15922,        2879,       8507
   936,     15360,        2916,       8507
   937,     15307,        2893,       8507
   938,     16146,        2867,       9007
   939,     15468,        2884,       8507
   940,     16324,        2853,       8507
   941,     15594,        2865,       8507
   942,     16693,        2841,       8507
   943,     15626,        2907,       8507
   944,     15720,        2942,       8507
   945,     15238,        2940,       9007
   946,     15253,        2955,       8507
   947,     15681,        2947,       8507
   948,     15716,        2952,       8507
   949,     16597,        2884,       8507
   950,     17087,        2866,       9007
   951,     15925,        2959,       8507
   952,     15654,        2936,       8507
   953,     15735,        2925,       8007
   954,     16016,        2953,       8507
   955,     17496,        2904,       9007
   956,     15963,        2923,       8507
   957,     16120,        2927,       9007
   958,     16219,        2953,       9008
   959,     16174,        2960,       9007
   960,     16057,        2936,       8507
   961,     17558,        2926,       9007
   962,     15792,        2975,       8507
   963,     16518,        2956,       8507
   964,     16344,        2944,       8507
   965,     16282,        2942,       8507
   966,     17338,        2937,       9007
   967,     16787,        2956,       9007
   968,     16218,        3006,       8507
   969,     16539,        3006,       9007
   970,     16280,        2990,       9008
   971,     16643,        2985,       8507
   972,     16400,        2960,       8507
   973,     16336,        3005,       8507
   974,     16463,        2985,       8507
   975,     17294,        2956,       9008
   976,     16546,        2966,       8507
   977,     16625,        3008,       9008
   978,     16402,        2977,       9006
   979,     16424,        3019,       8508
   980,     16028,        3059,       9007
   981,     16832,        2983,       9007
   982,     16690,        2943,       9008
   983,     17824,        2956,       9508
   984,     17449,        2984,       9507
   985,     17470,        2990,       9008
   986,     16983,        2980,       9007
   987,     17439,        3032,       9007
   988,     16680,        3030,       8507
   989,     16539,        3052,       8507
   990,     16679,        3043,       8507
   991,     17243,        2989,       9006
   992,     16550,        3031,       9007
   993,     16795,        3064,       9007
   994,     16592,        3028,       9007
   995,     16602,        3022,       8507
   996,     17154,        3044,       9007
   997,     16607,        3086,       9007
   998,     17190,        3074,       8506
   999,     16911,        3077,       9007
  1000,     17000,        3071,       9008
  1001,     16773,        3081,       9008
  1002,     16599,        3060,       9007
  1003,     17317,        3066,       9007
  1004,     16666,        3069,       9007
  1005,     17139,        3080,       9006
  1006,     16964,        3105,       8507
  1007,     17938,        3026,       9508
  1008,     17135,        3088,       9007
  1009,     17235,        3067,       9007
  1010,     17414,        3094,       9007
  1011,     16835,        3115,       9007
  1012,     17463,        3122,       9006
  1013,     17885,        3092,       9006
  1014,     17177,        3158,       9008
  1015,     17296,        3167,       9008
  1016,     16835,        3154,       9007
  1017,     17162,        3107,       9508
  1018,     16977,        3123,       9508
  1019,     16844,        3100,       9008
  1020,     16968,        3161,       9007
  1021,     16725,        3159,       8507
