    n, bubble_cmp, bubble_swaps, bubble_time
  427,      90525,          187,       40034
  428,      90951,          187,       40534
  429,      91378,          188,       40534
  430,      91806,          188,       41034
  431,      92235,          188,       40534
  432,      92665,          188,       41035
  433,      93096,          189,       41035
  434,      93528,          189,       41034
  435,      93961,          189,       42036
  436,      94395,          189,       41535
  437,      94830,          189,       41034
  438,      95266,          189,       43036
  439,      95703,          190,       42037
  440,      96141,          190,       42035
  441,      96580,          190,       43037
  442,      97020,          191,       42536
  443,      97461,          192,       43037
  444,      97903,          192,       45539
  445,      98346,          192,       43537
  446,      98790,          192,       44537
  447,      99235,          192,       44038
  448,      99681,          194,       44537
  449,     100128,          195,       44538
  450,     100576,          198,       45038
  451,     101025,          198,       45039
  452,     101475,          198,       45538
  453,     101926,          199,       46039
  454,     102378,          201,       45037
  455,     102831,          201,       45039
  456,     103285,          201,       45539
  457,     103740,          202,       46039
  458,     104196,          203,       46040
  459,     104653,          205,       45538
  460,     105111,          207,       45540
  461,     105570,          207,       46038
  462,     106030,          207,       47040
  463,     106491,          207,       47040
  464,     106953,          207,       47040
  465,     107416,          207,       47040
  466,     107880,          207,       47039
  467,     108345,          207,       47540
  468,     108811,          208,       47540
  469,     109278,          209,       48041
  470,     109746,          210,       48541
  471,     110215,          210,       49042
  472,     110685,          210,       48541
  473,     111156,          211,       49043
  474,     111628,          211,       49541
  475,     112101,          211,       50543
  476,     112575,          211,       50043
  477,     113050,          211,       49041
  478,     113526,          211,       51544
  479,     114003,          211,       51543
  480,     114481,          211,       50543
  481,     114960,          211,       50543
  482,     115440,          211,       51544
  483,     115921,          211,       52044
  484,     116403,          211,       51543
  485,     116886,          211,       52044
  486,     117370,          213,       52044
  487,     117855,          213,       53045
  488,     118341,          213,       56547
  489,     118828,          213,       53046
  490,     119316,          213,       53545
  491,     119805,          214,       53045
  492,     120295,          214,       53046
  493,     120786,          214,       53045
  494,     121278,          215,       53045
  495,     121771,          215,       54547
  496,     122265,          215,       54546
  497,     122760,          216,       54047
  498,     123256,          217,       54546
  499,     123753,          217,       54046
  500,     124251,          217,       54046
  501,     124750,          218,       54046
  502,     125250,          219,       55046
  503,     125751,          219,       55048
  504,     126253,          219,       56047
  505,     126756,          219,       56048
  506,     127260,          219,       57048
  507,     127765,          220,       55547
  508,     128271,          221,       57049
  509,     128778,          221,       56548
  510,     129286,          221,       57049
  511,     129795,          221,       57549
  512,     130305,          221,       58050
  513,     130816,          221,       59551
  514,     131328,          221,       59551
  515,     131841,          221,       59050
  516,     132355,          222,       60551
  517,     132870,          222,       59551
  518,     133386,          222,       60051
  519,     133903,          223,       59551
  520,     134421,          223,       60052
  521,     134940,          223,       60551
  522,     135460,          223,       62052
  523,     135981,          224,       61552
  524,     136503,          224,       62053
  525,     137026,          224,       61553
  526,     137550,          224,       62052
  527,     138075,          226,       61553
  528,     138601,          228,       62053
  529,     139128,          228,       64555
  530,     139656,          228,       62553
  531,     140185,          229,       62553
  532,     140715,          229,       64055
  533,     141246,          229,       62553
  534,     141778,          230,       64054
  535,     142311,          230,       63054
  536,     142845,          230,       64054
  537,     143380,          230,       64555
  538,     143916,          230,       64554
  539,     144453,          230,       64555
  540,     144991,          230,       64555
  541,     145530,          230,       66056
  542,     146070,          230,       65556
  543,     146611,          230,       65556
  544,     147153,          230,       65556
  545,     147696,          230,       65556
  546,     148240,          230,       66057
  547,     148785,          231,       66557
  548,     149331,          231,       67558
  549,     149878,          231,       69058
  550,     150426,          232,       67558
  551,     150975,          234,       69560
  552,     151525,          234,       69559
  553,     152076,          234,       68057
  554,     152628,          234,       69059
  555,     153181,          236,       69060
  556,     153735,          238,       69058
  557,     154290,          241,       69059
  558,     154846,          241,       69560
  559,     155403,          241,       69559
  560,     155961,          241,       73563
  561,     156520,          242,       70059
  562,     157080,          244,       71061
  563,     157641,          245,       71061
  564,     158203,          247,       70559
  565,     158766,          247,       72062
  566,     159330,          247,       71561
  567,     159895,          247,       73063
  568,     160461,          247,       72561
  569,     161028,          247,       73063
  570,     161596,          247,       73061
  571,     162165,          247,       73563
  572,     162735,          247,       73062
  573,     163306,          248,       73563
  574,     163878,          251,       73563
  575,     164451,          251,       74063
  576,     165025,          251,       73562
  577,     165600,          251,       74063
  578,     166176,          251,       76566
  579,     166753,          251,       74564
  580,     167331,          251,       75564
  581,     167910,          251,       75564
  582,     168490,          251,       76066
  583,     169071,          252,       76565
  584,     169653,          252,       75565
  585,     170236,          253,       76064
  586,     170820,          253,       77566
  587,     171405,          253,       76565
  588,     171991,          253,       77066
  589,     172578,          254,       77067
  590,     173166,          254,       77065
  591,     173755,          254,       77065
  592,     174345,          254,       79067
  593,     174936,          254,       78566
  594,     175528,          254,       78567
  595,     176121,          254,       80069
  596,     176715,          255,       79568
  597,     177310,          256,       80069
  598,     177906,          256,       82571
  599,     178503,          256,       80068
  600,     179101,          256,       80569
  601,     179700,          257,       80569
  602,     180300,          257,       81070
  603,     180901,          257,       81068
  604,     181503,          257,       82070
  605,     182106,          258,       81570
  606,     182710,          260,       83572
  607,     183315,          263,       82570
  608,     183921,          263,       85073
  609,     184528,          263,       84072
  610,     185136,          263,       84071
  611,     185745,          263,       83071
  612,     186355,          263,       84573
  613,     186966,          263,       84071
  614,     187578,          263,       85073
  615,     188191,          263,       84072
  616,     188805,          263,       86073
  617,     189420,          263,       85072
  618,     190036,          263,       86074
  619,     190653,          263,       86574
  620,     191271,          263,       87074
  621,     191890,          263,       86574
  622,     192510,          264,       87074
  623,     193131,          264,       90079
  624,     193753,          264,       86573
  625,     194376,          264,       87575
  626,     195000,          264,       87575
  627,     195625,          266,       88576
  628,     196251,          266,       88075
  629,     196878,          266,       89076
  630,     197506,          266,       91578
  631,     198135,          266,       89076
  632,     198765,          266,       89076
  633,     199396,          268,       90077
  634,     200028,          269,       91078
  635,     200661,          269,       90578
  636,     201295,          269,       90077
  637,     201930,          269,       92079
  638,     202566,          269,       90578
  639,     203203,          269,       91077
  640,     203841,          270,       92079
  641,     204480,          270,       92579
  642,     205120,          271,       92079
  643,     205761,          271,       97083
  644,     206403,          271,       94581
  645,     207046,          271,       93580
  646,     207690,          271,       93079
  647,     208335,          271,       93580
  648,     208981,          271,       94081
  649,     209628,          273,       95581
  650,     210276,          273,       94580
  651,     210925,          273,       96583
  652,     211575,          274,       96582
  653,     212226,          274,       95081
  654,     212878,          274,       95582
  655,     213531,          274,       98084
  656,     214185,          274,       96082
  657,     214840,          274,       98084
  658,     215496,          275,       96082
  659,     216153,          278,       98083
  660,     216811,          278,       97582
  661,     217470,          278,       97583
  662,     218130,          278,       98584
  663,     218791,          278,       99085
  664,     219453,          279,       99085
  665,     220116,          279,       99085
