   n, quick_cmp, quick_swaps, quick_time
 905,    145739,        1580,      60551
 906,    146514,        1584,      62052
 907,    146835,        1586,      61553
 908,    147290,        1587,      62053
 909,    146978,        1587,      61552
 910,    147348,        1588,      61553
 911,    147670,        1591,      62053
 912,    147993,        1593,      63053
 913,    148317,        1595,      61552
 914,    149551,        1598,      62053
 915,    149874,        1600,      62553
 916,    149874,        1601,      63054
 917,    150200,        1603,      62555
 918,    150851,        1605,      62552
 919,    151180,        1607,      63053
 920,    151505,        1608,      63054
 921,    151834,        1610,      63055
 922,    151703,        1612,      63053
 923,    152028,        1613,      63054
 924,    152356,        1615,      64555
 925,    152685,        1617,      64054
 926,    153018,        1619,      64054
 927,    153344,        1620,      64555
 928,    153674,        1622,      64055
 929,    154004,        1624,      64555
 930,    154337,        1626,      64555
 931,    154665,        1627,      64555
 932,    154995,        1630,      65055
 933,    155325,        1632,      64554
 934,    155657,        1634,      65056
 935,    155984,        1635,      66556
 936,    156313,        1637,      65556
 937,    156646,        1639,      65055
 938,    157447,        1641,      67058
 939,    157779,        1643,      66056
 940,    157916,        1643,      66056
 941,    157923,        1645,      66557
 942,    158731,        1650,      67057
 943,    159724,        1652,      66557
 944,    159447,        1652,      67558
 945,    159782,        1654,      67057
 946,    160587,        1657,      67557
 947,    160921,        1659,      67558
 948,    160782,        1659,      68058
 949,    161114,        1660,      67057
 950,    161451,        1661,      67057
 951,    161787,        1663,      67558
 952,    161648,        1665,      67558
 953,    161984,        1667,      68559
 954,    162797,        1669,      68057
 955,    163134,        1671,      68558
 956,    164426,        1675,      70060
 957,    164763,        1676,      69059
 958,    165105,        1678,      68558
 959,    165442,        1679,      69560
 960,    164826,        1678,      68559
 961,    165168,        1680,      68558
 962,    165030,        1682,      69560
 963,    165372,        1684,      70059
 964,    166197,        1686,      69559
 965,    166540,        1688,      69559
 966,    167021,        1690,      71061
 967,    167367,        1692,      70560
 968,    167854,        1694,      70561
 969,    168203,        1697,      71061
 970,    168266,        1697,      74064
 971,    168611,        1699,      71061
 972,    169444,        1703,      71560
 973,    169791,        1705,      71060
 974,    170279,        1706,      71061
 975,    170282,        1706,      72062
 976,    170338,        1706,      72562
 977,    170685,        1708,      71061
 978,    171523,        1712,      71060
 979,    171872,        1714,      71561
 980,    172363,        1715,      72062
 981,    171682,        1715,      71561
 982,    172917,        1718,      73062
 983,    173266,        1720,      72562
 984,    173759,        1721,      72562
 985,    173762,        1721,      72562
 986,    173823,        1722,      72061
 987,    174174,        1724,      73562
 988,    174526,        1726,      73062
 989,    174878,        1728,      73062
 990,    175231,        1730,      74063
 991,    175584,        1732,      82107
 992,    175938,        1734,      74064
 993,    176293,        1736,      74064
 994,    177141,        1737,      73563
 995,    177495,        1739,      74063
 996,    178341,        1742,      74062
 997,    178698,        1744,      74563
 998,    178561,        1745,      76065
 999,    178922,        1747,      76566
1000,    179772,        1748,      75065
