 n, quick_cmp, quick_swaps, quick_time
 0,         0,           0,          0
 1,         0,           0,          0
 2,         2,           2,          0
 3,         5,           2,          0
 4,        13,           4,          0
 5,        17,           6,          0
 6,        23,           8,          0
 7,        32,          11,          0
 8,        38,          12,          0
 9,        46,          14,          0
10,        54,          17,          0
