    n, heap_cmp, heap_swaps, heap_time
  958,    16105,       8704,     10508
  959,    16109,       8720,     10008
  960,    16128,       8712,     10008
  961,    16146,       8741,     10509
  962,    16176,       8751,     10509
  963,    16179,       8738,     10008
  964,    16180,       8736,     10008
  965,    16187,       8750,     10008
  966,    16263,       8785,     10508
  967,    16239,       8759,     10508
  968,    16279,       8793,     10508
  969,    16279,       8794,     10008
  970,    16310,       8810,     10509
  971,    16324,       8822,     10509
  972,    16360,       8842,     10508
  973,    16382,       8858,     10508
  974,    16375,       8856,     10510
  975,    16419,       8868,     10508
  976,    16443,       8877,     10508
  977,    16427,       8894,     10009
  978,    16476,       8897,     10509
  979,    16482,       8924,     10508
  980,    16496,       8920,     11009
  981,    16510,       8904,     10509
  982,    16527,       8917,     10509
  983,    16574,       8949,     10509
  984,    16588,       8955,     10509
  985,    16589,       8953,     10509
  986,    16629,       8977,     10509
  987,    16643,       8993,     11009
  988,    16634,       8995,     11009
  989,    16656,       9005,     10509
  990,    16665,       8985,     10509
  991,    16689,       8998,     10508
  992,    16709,       9036,     10508
  993,    16726,       9038,     10509
  994,    16781,       9081,     10508
  995,    16804,       9074,     10508
  996,    16813,       9084,     11008
  997,    16791,       9081,     11010
  998,    16827,       9092,     11008
  999,    16837,       9103,     10508
 1000,    16865,       9101,     10509
 1001,    16883,       9130,     10509
 1002,    16926,       9143,     10509
 1003,    16945,       9167,     11008
 1004,    16940,       9173,     10508
 1005,    16969,       9179,     11009
 1006,    16969,       9151,     11009
 1007,    16998,       9189,     10509
 1008,    17034,       9208,     11008
 1009,    17038,       9217,     11009
 1010,    17072,       9231,     11009
 1011,    17061,       9206,     11009
 1012,    17113,       9251,     10508
 1013,    17104,       9234,     11008
 1014,    17135,       9251,     11010
 1015,    17163,       9268,     11009
 1016,    17189,       9287,     11008
 1017,    17169,       9275,     11009
 1018,    17208,       9300,     10509
 1019,    17214,       9296,     11009
 1020,    17267,       9324,     11009
 1021,    17274,       9332,     11010
 1022,    17327,       9358,     11008
 1023,    17295,       9337,     11010
 1024,    17346,       9361,     11009
 1025,    17347,       9369,     11009
 1026,    17357,       9365,     11009
 1027,    17385,       9398,     11009
 1028,    17408,       9406,     11009
 1029,    17441,       9420,     11008
 1030,    17454,       9423,     11510
 1031,    17474,       9423,     11008
 1032,    17493,       9433,     11509
 1033,    17522,       9442,     11509
 1034,    17563,       9485,     11009
 1035,    17555,       9487,     11008
 1036,    17559,       9496,     11009
 1037,    17569,       9488,     11510
 1038,    17590,       9492,     11509
 1039,    17618,       9513,     11009
 1040,    17648,       9534,     11510
 1041,    17648,       9525,     11508
 1042,    17686,       9553,     11509
 1043,    17693,       9547,     11510
 1044,    17721,       9580,     11008
 1045,    17746,       9580,     11509
 1046,    17769,       9599,     11010
 1047,    17775,       9599,     11510
 1048,    17807,       9619,     11509
 1049,    17855,       9645,     11009
 1050,    17859,       9658,     11509
 1051,    17852,       9631,     11509
 1052,    17885,       9656,     11509
 1053,    17903,       9684,     11509
 1054,    17932,       9685,     12011
 1055,    17943,       9695,     11509
 1056,    17948,       9688,     11510
 1057,    17976,       9708,     11510
 1058,    18016,       9730,     11510
 1059,    18043,       9734,     11509
 1060,    18041,       9741,     11509
 1061,    18073,       9758,     11510
 1062,    18099,       9771,     11510
 1063,    18073,       9720,     11509
 1064,    18138,       9775,     11510
 1065,    18170,       9803,     11009
 1066,    18140,       9789,     12010
 1067,    18189,       9807,     12010
 1068,    18233,       9853,     11509
 1069,    18229,       9831,     11510
 1070,    18226,       9834,     11509
 1071,    18284,       9860,     11510
 1072,    18263,       9839,     11510
 1073,    18304,       9872,     11509
 1074,    18330,       9903,     11509
 1075,    18354,       9893,     11509
 1076,    18379,       9900,     11510
 1077,    18390,       9934,     12010
 1078,    18380,       9913,     12010
 1079,    18418,       9935,     11510
 1080,    18465,       9969,     11509
 1081,    18461,       9964,     12010
 1082,    18486,       9975,     12010
 1083,    18500,       9986,     12010
 1084,    18560,      10022,     12009
 1085,    18517,       9992,     12010
 1086,    18571,      10030,     12009
 1087,    18567,      10003,     12010
 1088,    18619,      10043,     11510
 1089,    18651,      10055,     11510
 1090,    18651,      10047,     13511
 1091,    18665,      10061,     11510
 1092,    18713,      10101,     12010
 1093,    18724,      10100,     11510
 1094,    18727,      10110,     12010
