   n, bubble_cmp, bubble_swaps, bubble_time
 410,      83436,        41728,       58550
 411,      83845,        42071,       60052
 412,      84255,        42466,       60051
 413,      84666,        42657,       60051
 414,      85078,        42765,       60051
 415,      85491,        42791,       60051
 416,      85905,        43072,       60552
 417,      86320,        43134,       61052
 418,      86736,        43237,       63554
 419,      87153,        43460,       62053
 420,      87571,        43566,       62052
 421,      87990,        43685,       63054
 422,      88410,        43828,       62553
 423,      88831,        44027,       63054
 424,      89253,        44155,       63054
 425,      89676,        44543,       63555
 426,      90100,        44799,       64054
 427,      90525,        45000,       64555
 428,      90951,        45061,       68559
 429,      91378,        45109,       64555
 430,      91806,        45276,       64555
 431,      92235,        45289,       65056
 432,      92665,        45330,       67557
 433,      93096,        45382,       67057
 434,      93528,        45705,       66557
 435,      93961,        45899,       66557
 436,      94395,        45954,       66056
 437,      94830,        46103,       66557
 438,      95266,        46283,       66557
 439,      95703,        46395,       66556
 440,      96141,        46517,       67057
 441,      96580,        46550,       67058
 442,      97020,        46791,       67557
 443,      97461,        46844,       67558
 444,      97903,        46857,       68057
 445,      98346,        47043,       68559
 446,      98790,        47468,       69059
 447,      99235,        47858,       70560
 448,      99681,        48285,       71061
 449,     100128,        48638,       70060
 450,     100576,        48964,       70060
 451,     101025,        49335,       70560
 452,     101475,        49784,       72561
 453,     101926,        49792,       72062
 454,     102378,        49915,       71561
 455,     102831,        50091,       71561
 456,     103285,        50256,       72061
 457,     103740,        50606,       73562
 458,     104196,        50925,       74564
 459,     104653,        51036,       75064
 460,     105111,        51477,       75564
 461,     105570,        51757,       75564
 462,     106030,        51857,       76565
 463,     106491,        51881,       76565
 464,     106953,        52343,       78066
 465,     107416,        52696,       76566
 466,     107880,        52734,       78067
 467,     108345,        52759,       77566
 468,     108811,        52767,       77566
 469,     109278,        52977,       78567
 470,     109746,        53023,       77566
 471,     110215,        53284,       78067
 472,     110685,        53705,       79067
 473,     111156,        53735,       79568
 474,     111628,        54090,       79568
 475,     112101,        54400,       80068
 476,     112575,        54645,       80569
 477,     113050,        54990,       81570
 478,     113526,        55460,       81070
 479,     114003,        55464,       81569
 480,     114481,        55750,       83071
 481,     114960,        55910,       82070
 482,     115440,        56358,       82571
 483,     115921,        56643,       83071
 484,     116403,        56720,       83571
 485,     116886,        56743,       83572
 486,     117370,        56917,       85072
 487,     117855,        57038,       85573
 488,     118341,        57121,       84573
 489,     118828,        57126,       84571
 490,     119316,        57342,       85573
 491,     119805,        57425,       85573
 492,     120295,        57797,       85573
 493,     120786,        58277,       88576
 494,     121278,        58521,       87074
 495,     121771,        58561,       86574
 496,     122265,        58746,       87074
 497,     122760,        59089,       87574
 498,     123256,        59348,       89577
 499,     123753,        59548,       89076
 500,     124251,        59786,       88075
 501,     124750,        59948,       89075
 502,     125250,        60148,       89577
 503,     125751,        60639,       89577
 504,     126253,        60683,       90077
 505,     126756,        60985,       91078
 506,     127260,        61085,       91078
 507,     127765,        61443,       91077
 508,     128271,        61795,       92079
