   n, insertion_cmp, insertion_swaps, insertion_time
 453,         50362,           49915,          49542
 454,         50539,           50091,          50042
 455,         50705,           50256,          51043
 456,         51056,           50606,          51043
 457,         51376,           50925,          51043
 458,         51488,           51036,          51043
 459,         51930,           51477,          51043
 460,         52211,           51757,          52044
 461,         52312,           51857,          52044
 462,         52337,           51881,          51543
 463,         52799,           52343,          52545
 464,         53153,           52696,          53045
 465,         53192,           52734,          53045
 466,         53218,           52759,          54546
 467,         53227,           52767,          54547
 468,         53438,           52977,          53546
 469,         53485,           53023,          54046
 470,         53747,           53284,          54046
 471,         54169,           53705,          54046
 472,         54200,           53735,          54046
 473,         54556,           54090,          54046
 474,         54867,           54400,          56048
 475,         55113,           54645,          56548
 476,         55459,           54990,          56047
 477,         55930,           55460,          57049
 478,         55935,           55464,          57049
 479,         56222,           55750,          57049
 480,         56383,           55910,          56548
 481,         56832,           56358,          57049
 482,         57118,           56643,          58550
 483,         57196,           56720,          57549
 484,         57220,           56743,          58550
 485,         57395,           56917,          57549
 486,         57517,           57038,          57049
 487,         57601,           57121,          57549
 488,         57607,           57126,          57049
 489,         57824,           57342,          59051
 490,         57908,           57425,          57548
 491,         58281,           57797,          58050
 492,         58762,           58277,          58550
 493,         59007,           58521,          59050
 494,         59048,           58561,          60551
 495,         59234,           58746,          59551
 496,         59578,           59089,          61553
 497,         59838,           59348,          61052
 498,         60039,           59548,          61553
 499,         60278,           59786,          61553
 500,         60441,           59948,          60551
 501,         60642,           60148,          61052
 502,         61134,           60639,          61553
 503,         61179,           60683,          60552
 504,         61482,           60985,          62053
 505,         61583,           61085,          62053
 506,         61942,           61443,          62553
 507,         62295,           61795,          62053
 508,         62685,           62184,          63053
 509,         63023,           62521,          63054
 510,         63265,           62762,          64554
 511,         63291,           62787,          63554
 512,         63644,           63139,          63053
 513,         64116,           63610,          65556
 514,         64133,           63626,          65556
 515,         64411,           63903,          64556
 516,         64865,           64356,          64554
 517,         65286,           64776,          65055
 518,         65525,           65014,          65055
 519,         65633,           65121,          65056
 520,         66017,           65504,          67057
 521,         66514,           66000,          66056
 522,         66648,           66133,          67557
 523,         67065,           66549,          67558
 524,         67150,           66633,          67057
 525,         67218,           66700,          68058
 526,         67512,           66993,          67558
 527,         67993,           67473,          68558
 528,         68223,           67702,          69559
 529,         68454,           67932,          68558
 530,         68637,           68114,          68558
 531,         69139,           68615,          68558
 532,         69502,           68977,          70061
 533,         69919,           69393,          70060
 534,         70080,           69553,          70060
 535,         70591,           70063,          71061
 536,         70701,           70172,          71060
 537,         70708,           70178,          72561
 538,         70864,           70333,          72562
 539,         71311,           70779,          71061
 540,         71551,           71018,          72562
 541,         71690,           71156,          73563
 542,         72072,           71537,          72562
 543,         72551,           72015,          74063
 544,         72660,           72123,          73563
 545,         73016,           72478,          73062
 546,         73377,           72838,          73063
 547,         73392,           72852,          73062
 548,         73399,           72858,          74565
 549,         73823,           73281,          74063
 550,         74018,           73475,          73563
 551,         74291,           73747,          75064
 552,         74371,           73826,          77566
 553,         74564,           74018,          75565
 554,         74914,           74367,          76565
 555,         75396,           74848,          76565
 556,         75576,           75027,          78067
 557,         76119,           75569,          76065
 558,         76129,           75578,          77065
 559,         76681,           76129,          77566
 560,         76863,           76310,          77066
 561,         77067,           76513,          77066
 562,         77201,           76646,          77566
 563,         77480,           76924,          78066
 564,         77896,           77339,          79568
 565,         78429,           77871,          79067
 566,         78465,           77906,          80569
 567,         78692,           78132,          81069
 568,         78735,           78174,          79569
 569,         79248,           78686,          79067
 570,         79483,           78920,          81069
 571,         79918,           79354,          79568
 572,         80441,           79876,          80569
 573,         80799,           80233,          80569
 574,         81321,           80754,          82070
 575,         81779,           81211,          83571
 576,         82153,           81584,          83071
 577,         82670,           82100,          83071
 578,         83164,           82593,          86073
 579,         83188,           82616,          84572
 580,         83543,           82970,          84072
 581,         83801,           83227,          85072
 582,         84361,           83786,          85573
 583,         84648,           84072,          85072
 584,         84660,           84083,          85573
 585,         84829,           84251,          85573
