    n, insertion_cmp, insertion_swaps, insertion_time
  550,         74961,           74422,          76565
  551,         75349,           74809,          76065
  552,         75768,           75227,          76066
  553,         76052,           75510,          76565
  554,         76464,           75921,          77566
  555,         76734,           76190,          77567
  556,         76927,           76382,          77566
  557,         77142,           76596,          78567
  558,         77434,           76887,          78066
  559,         77456,           76908,          79067
  560,         77758,           77209,          78567
  561,         77843,           77293,          79068
  562,         77900,           77349,          79066
  563,         77991,           77439,          79067
  564,         78431,           77878,          80569
  565,         78790,           78236,          80569
  566,         79196,           78641,          80068
  567,         79379,           78823,          80068
  568,         79868,           79311,          80569
  569,         80147,           79589,          81569
  570,         80189,           79630,          81069
  571,         80680,           80120,          81069
  572,         81205,           80644,          81570
  573,         81735,           81173,          82571
  574,         81890,           81327,          82570
  575,         81907,           81343,          82571
  576,         82094,           81529,          84072
  577,         82637,           82071,          86574
  578,         82932,           82365,          85072
  579,         83390,           82822,          85573
  580,         83541,           82972,          84571
  581,         83920,           83350,          84073
  582,         84109,           83538,          86074
  583,         84370,           83798,          85572
  584,         84404,           83831,          85072
  585,         84603,           84029,          86574
  586,         85099,           84524,          86073
  587,         85141,           84565,          87575
  588,         85312,           84735,          86073
  589,         85426,           84848,          86073
  590,         85469,           84890,          86574
  591,         85805,           85225,          88075
  592,         85877,           85296,          87074
  593,         86307,           85725,          89076
  594,         86429,           85846,          88075
  595,         86796,           86212,          88076
  596,         87188,           86603,          90577
  597,         87587,           87001,          88576
  598,         87715,           87128,          88075
  599,         87775,           87187,          88577
  600,         87938,           87349,          88575
  601,         88183,           87593,          90077
  602,         88551,           87960,          91078
  603,         88742,           88150,          92079
  604,         88868,           88275,          90076
  605,         89258,           88664,          91578
  606,         89456,           88861,          90077
  607,         89593,           88997,          92078
  608,         89886,           89289,          91578
  609,         90410,           89812,          92079
  610,         90761,           90162,          92079
  611,         91157,           90557,          93580
  612,         91691,           91090,          93079
  613,         92128,           91526,          93581
  614,         92142,           91539,          95581
  615,         92153,           91549,          95582
  616,         92626,           92021,          94581
  617,         92907,           92301,          96582
  618,         93290,           92683,          95082
  619,         93876,           93268,          95081
  620,         94042,           93433,          96082
  621,         94545,           93935,          96082
  622,         94983,           94372,          97584
  623,         95040,           94428,          98084
  624,         95146,           94533,          99085
  625,         95708,           95094,          97583
  626,         96322,           95707,          98084
