    n, quick_cmp, quick_swaps, quick_time
  779,     12390,        2322,       6505
  780,     12193,        2323,       6505
  781,     12309,        2341,       6505
  782,     12245,        2336,       6505
  783,     12463,        2342,       6505
  784,     12498,        2331,       6505
  785,     12436,        2337,       6505
  786,     12886,        2352,       7006
  787,     12592,        2344,       7005
  788,     12812,        2400,       7006
  789,     12771,        2402,       7005
  790,     12829,        2338,       6505
  791,     12628,        2333,       6505
  792,     12516,        2357,       6505
  793,     12926,        2374,       6504
  794,     12944,        2382,       6505
  795,     14545,        2353,       7506
  796,     13626,        2367,       7506
  797,     12452,        2385,       7006
  798,     13360,        2348,       7505
  799,     12988,        2346,       7006
  800,     13013,        2362,       7005
  801,     13274,        2385,       7005
  802,     12759,        2381,       6505
  803,     13198,        2374,       7006
  804,     13138,        2393,       6505
  805,     13131,        2398,       7005
  806,     13788,        2361,       7506
  807,     13026,        2447,       7005
  808,     13543,        2403,       7005
  809,     13384,        2380,       7005
  810,     13089,        2403,       7005
  811,     13165,        2450,       7506
  812,     12874,        2429,       7006
  813,     13463,        2448,       7005
  814,     12992,        2419,       7005
  815,     13256,        2433,       7005
  816,     13209,        2450,       7506
  817,     13503,        2416,       7506
  818,     13363,        2446,       7506
  819,     13163,        2454,       7005
  820,     13232,        2497,       7006
  821,     13529,        2457,       7506
  822,     13564,        2470,       7506
  823,     13597,        2444,       7506
  824,     13382,        2462,       7005
  825,     13346,        2454,       7006
  826,     13854,        2447,       7506
  827,     13932,        2448,       7506
  828,     13215,        2458,       7005
  829,     13748,        2498,       7506
  830,     13525,        2447,       7005
  831,     13085,        2494,       7005
  832,     13113,        2491,       7506
  833,     13554,        2490,       7506
  834,     13959,        2480,       7506
  835,     13475,        2500,       7006
  836,     13545,        2552,       7005
  837,     14823,        2478,       8007
  838,     14304,        2492,       7506
  839,     14201,        2509,       7506
  840,     13431,        2549,       7506
  841,     14245,        2490,       8006
  842,     14266,        2501,       8006
  843,     14325,        2496,       7506
  844,     13892,        2534,       7506
  845,     13951,        2543,       8006
  846,     13839,        2556,       7506
  847,     14619,        2520,       7506
  848,     13415,        2530,       7506
  849,     13661,        2553,       7005
  850,     13923,        2570,       7505
  851,     13737,        2567,       7506
  852,     13855,        2576,       7506
  853,     14003,        2571,       7507
  854,     14160,        2540,       7506
  855,     13844,        2590,       7505
  856,     13831,        2589,       7506
  857,     14447,        2548,       8007
  858,     14127,        2563,       7506
  859,     14101,        2634,       8007
  860,     14047,        2585,       7505
  861,     14343,        2580,       8007
  862,     14186,        2594,       7507
  863,     14219,        2582,       8006
  864,     14229,        2634,       7506
  865,     14334,        2614,       8006
  866,     14418,        2644,       8007
  867,     14058,        2602,       8006
  868,     13765,        2639,       7506
  869,     14402,        2607,       8006
  870,     15062,        2589,       8005
  871,     14935,        2603,       8007
  872,     14192,        2614,       7506
  873,     15063,        2608,       8506
  874,     15118,        2611,       8007
  875,     15152,        2608,       8006
  876,     14616,        2640,       7506
  877,     14703,        2632,       8006
  878,     14924,        2619,       7506
  879,     14268,        2682,       7506
  880,     14425,        2661,       8006
  881,     14941,        2630,       8007
  882,     15024,        2621,       8006
  883,     14798,        2637,       8007
  884,     15129,        2646,       8006
  885,     14690,        2682,       8007
  886,     14657,        2714,       7506
  887,     15074,        2641,       8006
  888,     14754,        2682,       7506
  889,     15530,        2643,       8007
  890,     15800,        2651,       8006
  891,     15059,        2708,       8007
  892,     15275,        2714,       7506
  893,     15129,        2715,       8007
  894,     15009,        2694,       8006
  895,     15262,        2693,       8006
  896,     14759,        2720,       7506
  897,     14976,        2736,       8007
  898,     14665,        2746,       8006
  899,     15064,        2710,       8006
  900,     14952,        2740,       8006
  901,     14818,        2722,       7506
  902,     15298,        2711,       8006
  903,     14694,        2738,       8006
  904,     14993,        2738,       8006
  905,     14951,        2758,       8007
  906,     15079,        2707,       8007
  907,     15975,        2708,       8006
  908,     15475,        2697,       8007
  909,     15030,        2821,       8006
  910,     15142,        2794,       8006
  911,     15312,        2800,       8007
  912,     15634,        2768,       8006
  913,     15250,        2792,       8006
  914,     15134,        2789,       8006
  915,     15946,        2745,       8507
  916,     16115,        2719,       8507
  917,     16082,        2716,       8507
  918,     15162,        2808,       8006
  919,     15554,        2798,       8006
  920,     15092,        2801,       8006
  921,     15108,        2805,       8006
  922,     14893,        2846,       8006
  923,     14941,        2837,       8007
  924,     15120,        2825,       8006
  925,     15827,        2784,       8006
  926,     15217,        2811,       8007
  927,     15181,        2810,       8006
  928,     15305,        2857,       8507
  929,     15144,        2857,       8507
  930,     15834,        2807,       8507
  931,     15911,        2819,       8507
  932,     15484,        2891,       8006
  933,     16321,        2849,       8507
  934,     15170,        2822,       8007
  935,     16328,        2834,       8507
  936,     15697,        2834,       8507
  937,     15410,        2885,       8507
  938,     15558,        2837,       8006
  939,     15307,        2831,       8006
  940,     15501,        2874,       8006
  941,     15588,        2874,       8507
  942,     15704,        2894,       8507
  943,     15762,        2929,       8007
  944,     16055,        2886,       8507
  945,     16191,        2887,       8507
  946,     15822,        2866,       8507
  947,     15854,        2878,       8507
  948,     15799,        2873,       8507
  949,     15597,        2912,       8507
  950,     16297,        2927,       8507
  951,     16284,        2935,       9007
  952,     16525,        2884,       9007
  953,     17145,        2890,       9007
  954,     15660,        2923,       8507
  955,     16236,        2903,       8507
  956,     15966,        2962,       8507
  957,     16054,        2939,       8507
  958,     16310,        2894,       9007
  959,     16466,        2901,       9008
  960,     16149,        2929,       8507
  961,     16160,        2906,       8507
