    n, quick_cmp, quick_swaps, quick_time
  213,      2745,         549,       1501
  214,      2948,         550,       1500
  215,      2708,         558,       1501
  216,      2736,         556,       1501
  217,      2760,         561,       1501
  218,      2928,         562,       1501
  219,      2713,         559,       1500
  220,      2768,         567,       1501
  221,      2726,         570,       1501
  222,      2953,         573,       1501
  223,      2876,         589,       2001
  224,      2996,         582,       1501
  225,      3106,         583,       1501
  226,      2993,         581,       2002
  227,      3041,         587,       1500
  228,      3125,         569,       1500
  229,      3107,         602,       2002
  230,      3158,         595,       1500
  231,      3056,         620,       2001
  232,      3045,         595,       1501
  233,      3144,         606,       1501
  234,      2989,         606,       1501
  235,      2948,         604,       1501
  236,      3254,         614,       2001
  237,      3082,         620,       1501
  238,      3079,         623,       1502
  239,      3351,         622,       1501
  240,      3027,         620,       2001
  241,      3105,         633,       1501
  242,      3249,         642,       2001
  243,      3252,         647,       1501
  244,      3269,         645,       1501
  245,      3277,         648,       2001
  246,      3321,         655,       2001
  247,      3320,         657,       1501
  248,      3349,         650,       1501
  249,      3315,         664,       2002
  250,      3201,         661,       2001
  251,      3260,         668,       1501
  252,      3337,         666,       1501
  253,      3328,         682,       2002
  254,      3345,         665,       2001
  255,      3296,         678,       2002
  256,      3457,         680,       1501
  257,      3411,         691,       1501
  258,      3407,         676,       2002
  259,      3430,         685,       2001
  260,      3677,         682,       2002
  261,      3697,         685,       2001
  262,      3598,         697,       2001
  263,      3580,         673,       2001
  264,      3672,         686,       2001
  265,      3672,         694,       2001
  266,      3575,         712,       1501
  267,      3575,         712,       2001
  268,      3699,         715,       2002
  269,      3508,         712,       1500
  270,      3488,         721,       2002
  271,      3792,         713,       2001
  272,      3783,         730,       2001
  273,      3636,         719,       2002
  274,      3854,         736,       2001
  275,      3700,         731,       2002
  276,      3642,         759,       2001
  277,      3718,         740,       2001
  278,      3713,         753,       2001
  279,      3741,         754,       2001
  280,      3702,         757,       2001
  281,      3764,         744,       2002
  282,      3801,         776,       2001
  283,      3938,         748,       2001
  284,      3896,         769,       2001
  285,      4044,         773,       2501
  286,      3877,         749,       2001
  287,      3892,         776,       2502
  288,      3976,         752,       2002
  289,      4028,         770,       2501
  290,      4001,         773,       2001
  291,      3986,         765,       2502
  292,      3908,         793,       2001
  293,      4064,         765,       2501
  294,      4084,         763,       2002
  295,      3999,         811,       2001
  296,      4280,         783,       2002
  297,      3941,         801,       2501
  298,      3975,         828,       2002
  299,      4022,         833,       2501
  300,      4068,         822,       2002
  301,      4134,         829,       2002
  302,      4318,         816,       2501
  303,      4213,         797,       2502
  304,      4395,         815,       2503
  305,      4328,         821,       2501
  306,      4201,         821,       2001
  307,      4111,         842,       2002
  308,      4259,         812,       2502
  309,      4202,         861,       2502
  310,      4276,         827,       2501
  311,      4345,         839,       2502
  312,      4231,         863,       2001
  313,      4368,         829,       2001
  314,      4384,         845,       2502
  315,      4203,         865,       2502
  316,      4480,         842,       2501
  317,      4335,         848,       2001
  318,      4431,         866,       2502
  319,      4472,         864,       2501
  320,      4432,         874,       2501
  321,      4386,         872,       2502
  322,      4580,         867,       2502
  323,      4594,         881,       2502
  324,      4588,         882,       2501
  325,      4615,         894,       2501
  326,      4535,         886,       2502
  327,      4587,         880,       2502
  328,      4677,         901,       2501
  329,      4717,         898,       2502
  330,      4725,         899,       2502
  331,      4637,         897,       2502
  332,      4634,         918,       2502
  333,      4725,         894,       2501
  334,      4786,         895,       2501
  335,      4744,         927,       2501
  336,      4952,         897,       2502
  337,      5043,         910,       2501
  338,      4868,         917,       2501
  339,      4848,         917,       2502
  340,      4942,         931,       2501
  341,      4867,         934,       2502
  342,      4757,         944,       2502
  343,      4879,         930,       2502
  344,      4836,         956,       3001
  345,      4765,         954,       2502
  346,      4787,         947,       3003
  347,      5155,         941,       2501
  348,      4985,         934,       2501
  349,      4910,         950,       3002
  350,      4922,         966,       2502
  351,      5018,         951,       3002
  352,      4919,         971,       2502
  353,      4931,         955,       2502
  354,      5360,         971,       3002
  355,      5088,         948,       3001
  356,      5113,         963,       2501
  357,      4950,         973,       2501
  358,      5007,         972,       3002
  359,      5068,         981,       2501
  360,      5037,         982,       2501
  361,      5086,         982,       3002
  362,      5088,         990,       3002
  363,      5246,        1005,       2502
  364,      5229,        1003,       2502
  365,      5195,         993,       2501
  366,      5211,        1015,       3002
  367,      5163,        1015,       3003
  368,      5210,        1014,       3002
  369,      5236,        1017,       3002
  370,      5197,        1024,       3002
  371,      5398,        1021,       3002
  372,      5355,        1032,       3002
  373,      5323,        1018,       3001
  374,      5406,        1035,       3003
  375,      5254,        1050,       3002
  376,      5349,        1026,       3001
  377,      5391,        1029,       3003
  378,      5469,        1039,       3002
  379,      5547,        1059,       3001
  380,      5530,        1061,       3002
  381,      5354,        1068,       3002
  382,      5317,        1070,       3002
  383,      5492,        1064,       3002
  384,      5479,        1066,       2501
  385,      5547,        1064,       3003
  386,      5321,        1056,       3132
  387,      5717,        1074,       2871
  388,      5572,        1080,       3002
  389,      5503,        1066,       3002
  390,      5516,        1092,       3002
  391,      5393,        1068,       2501
  392,      5804,        1064,       3002
  393,      5769,        1074,       3002
  394,      5634,        1072,       3003
  395,      5704,        1103,       3002
  396,      6053,        1062,       3002
  397,      5814,        1086,       3503
  398,      5695,        1122,       3002
  399,      5812,        1089,       3002
  400,      5647,        1113,       3002
  401,      6034,        1103,       3502
  402,      5717,        1130,       3002
  403,      5736,        1138,       3503
  404,      5772,        1108,       3001
  405,      5876,        1111,       3002
  406,      5946,        1105,       3002
  407,      5960,        1109,       3502
  408,      5854,        1137,       3002
  409,      6188,        1125,       3503
  410,      5910,        1121,       3502
  411,      5978,        1123,       3002
  412,      6270,        1132,       3002
  413,      6396,        1133,       3503
  414,      6093,        1150,       3002
  415,      6179,        1138,       3002
  416,      6019,        1167,       3002
  417,      5966,        1139,       3002
  418,      6048,        1156,       3503
  419,      6223,        1124,       3502
  420,      6339,        1163,       3002
  421,      6038,        1194,       3002
  422,      6304,        1151,       3003
  423,      5958,        1153,       3002
  424,      6212,        1159,       3002
  425,      6254,        1163,       3002
  426,      6591,        1172,       3503
  427,      6173,        1205,       3502
  428,      6454,        1203,       3502
  429,      6633,        1171,       3502
  430,      6583,        1188,       3502
  431,      6660,        1206,       3503
  432,      6358,        1196,       3503
  433,      6674,        1183,       3001
  434,      6244,        1204,       3002
  435,      6505,        1178,       3002
  436,      6418,        1237,       3503
  437,      6489,        1206,       3502
  438,      6528,        1225,       3503
  439,      6231,        1250,       3503
  440,      6781,        1182,       3502
  441,      6442,        1227,       3503
  442,      6381,        1253,       3502
  443,      6540,        1211,       3502
  444,      6526,        1251,       3503
  445,      6653,        1241,       3502
  446,      6706,        1251,       3503
  447,      6505,        1249,       3503
  448,      6481,        1243,       3502
  449,      6504,        1249,       4003
  450,      6697,        1260,       3503
  451,      6695,        1260,       4004
  452,      6568,        1264,       3502
  453,      6368,        1293,       3502
  454,      6633,        1254,       3503
  455,      6859,        1276,       4003
