   n, heap_cmp, heap_swaps, heap_time
 533,     8008,       4364,      5504
 534,     8037,       4386,      5505
 535,     8050,       4387,      5003
 536,     8061,       4387,      5003
 537,     8081,       4405,      5004
 538,     8122,       4429,      5504
 539,     8128,       4423,      5504
 540,     8146,       4432,      5505
 541,     8184,       4459,      5504
 542,     8170,       4466,      5505
 543,     8208,       4462,      5504
 544,     8223,       4480,      5505
 545,     8232,       4482,      5003
 546,     8246,       4487,      5004
 547,     8259,       4491,      5004
 548,     8298,       4514,      5504
 549,     8315,       4518,      5504
 550,     8329,       4526,      5505
 551,     8352,       4560,      5504
 552,     8366,       4552,      5504
 553,     8390,       4566,      5504
 554,     8388,       4568,      5504
 555,     8420,       4566,      5504
 556,     8448,       4594,      5004
 557,     8469,       4595,      5505
 558,     8474,       4603,      5503
 559,     8481,       4622,      5505
 560,     8498,       4620,      5503
 561,     8530,       4652,      5004
 562,     8535,       4649,      5504
 563,     8535,       4654,      5504
 564,     8553,       4644,      5505
 565,     8610,       4690,      5504
 566,     8623,       4679,      5004
 567,     8625,       4689,      5504
 568,     8640,       4712,      5504
 569,     8652,       4701,      5504
 570,     8688,       4733,      5505
 571,     8732,       4753,      5504
 572,     8707,       4743,      6005
 573,     8747,       4762,      6005
 574,     8772,       4787,      5506
 575,     8792,       4770,      6004
 576,     8798,       4793,      5504
 577,     8811,       4802,      6005
 578,     8860,       4815,      5504
 579,     8890,       4828,      5504
 580,     8879,       4823,      6005
 581,     8892,       4833,      6005
 582,     8902,       4838,      6005
 583,     8919,       4846,      6005
 584,     8932,       4854,      6004
 585,     8987,       4879,      6005
 586,     8969,       4870,      6004
 587,     9004,       4892,      5504
 588,     9020,       4907,      6005
 589,     9034,       4904,      6005
 590,     9074,       4936,      6004
 591,     9078,       4946,      5505
 592,     9108,       4950,      5504
 593,     9122,       4954,      5505
 594,     9117,       4953,      6505
 595,     9157,       4977,      6506
 596,     9179,       4988,      6005
 597,     9194,       5001,      6005
 598,     9196,       4993,      6005
 599,     9225,       5009,      6005
 600,     9238,       5017,      6005
 601,     9284,       5042,      6005
 602,     9282,       5035,      6005
 603,     9303,       5047,      6005
 604,     9306,       5054,      6004
 605,     9340,       5083,      6505
 606,     9365,       5097,      6005
 607,     9369,       5086,      6005
 608,     9407,       5110,      6005
 609,     9372,       5106,      6005
 610,     9417,       5129,      6004
 611,     9456,       5137,      6005
 612,     9453,       5139,      6505
 613,     9481,       5157,      6005
 614,     9480,       5149,      6005
 615,     9516,       5164,      6505
 616,     9527,       5180,      6005
 617,     9560,       5191,      6004
 618,     9593,       5230,      6005
 619,     9602,       5206,      6004
 620,     9614,       5214,      6506
 621,     9643,       5238,      6005
 622,     9635,       5232,      6505
 623,     9654,       5227,      6505
 624,     9693,       5249,      6505
 625,     9693,       5263,      6505
 626,     9714,       5278,      6005
 627,     9728,       5285,      6505
 628,     9760,       5292,      6005
 629,     9775,       5299,      6005
 630,     9802,       5317,      6505
 631,     9813,       5313,      6005
 632,     9831,       5340,      6505
 633,     9836,       5340,      6004
 634,     9861,       5370,      6505
 635,     9881,       5365,      6505
 636,     9890,       5357,      6505
 637,     9929,       5387,      6505
 638,     9943,       5400,      6505
 639,     9968,       5420,      6005
 640,     9977,       5406,      6004
 641,     9990,       5419,      6005
 642,    10011,       5436,      6505
 643,    10024,       5437,      6504
 644,    10049,       5452,      6004
 645,    10068,       5470,      6505
 646,    10103,       5501,      6505
 647,    10107,       5488,      6505
 648,    10137,       5504,      6505
 649,    10150,       5513,      6505
 650,    10178,       5540,      6505
 651,    10196,       5521,      6505
 652,    10200,       5520,      6505
 653,    10222,       5546,      6506
 654,    10230,       5547,      6505
 655,    10244,       5568,      6505
 656,    10272,       5578,      6005
 657,    10299,       5580,      6505
 658,    10325,       5591,      6505
 659,    10356,       5597,      7005
 660,    10348,       5617,      6505
 661,    10363,       5630,      6505
 662,    10388,       5631,      7005
 663,    10388,       5624,      7007
 664,    10423,       5632,      6505
 665,    10439,       5637,      6505
 666,    10461,       5673,      6505
 667,    10477,       5682,      6506
 668,    10506,       5698,      6505
 669,    10516,       5698,      6505
 670,    10520,       5695,      6506
 671,    10541,       5704,      6505
 672,    10580,       5721,      7005
 673,    10556,       5709,      7005
 674,    10607,       5738,      7006
 675,    10611,       5733,      6505
 676,    10640,       5745,      7006
 677,    10637,       5751,      7006
 678,    10681,       5788,      7005
 679,    10701,       5795,      7006
 680,    10708,       5796,      7006
 681,    10750,       5815,      6505
 682,    10749,       5816,      7005
 683,    10755,       5817,      7005
 684,    10775,       5831,      7006
