   n, bubble_cmp, bubble_swaps, bubble_time
 354,      62128,          174,       28024
 355,      62481,          174,       28024
 356,      62835,          174,       28024
 357,      63190,          174,       28023
 358,      63546,          175,       28023
 359,      63903,          175,       29025
 360,      64261,          175,       29024
 361,      64620,          175,       29025
 362,      64980,          176,       29525
 363,      65341,          178,       29525
 364,      65703,          178,       30026
 365,      66066,          181,       30025
 366,      66430,          181,       30025
 367,      66795,          181,       30025
 368,      67161,          181,       30526
 369,      67528,          182,       30526
 370,      67896,          183,       30526
 371,      68265,          183,       31026
 372,      68635,          183,       31527
 373,      69006,          183,       30526
 374,      69378,          184,       31527
 375,      69751,          184,       31027
 376,      70125,          184,       31526
 377,      70500,          185,       31527
 378,      70876,          187,       31527
 379,      71253,          190,       31527
 380,      71631,          191,       32026
 381,      72010,          191,       32027
 382,      72390,          191,       32527
 383,      72771,          192,       32527
 384,      73153,          192,       32527
 385,      73536,          194,       33528
 386,      73920,          194,       33028
 387,      74305,          194,       33529
 388,      74691,          194,       34028
 389,      75078,          194,       34529
 390,      75466,          195,       33528
 391,      75855,          197,       34529
 392,      76245,          197,       34029
 393,      76636,          198,       34529
 394,      77028,          198,       34529
 395,      77421,          198,       34529
 396,      77815,          199,       35030
 397,      78210,          199,       35030
 398,      78606,          199,       35030
 399,      79003,          199,       35530
 400,      79401,          200,       36031
 401,      79800,          200,       35531
 402,      80200,          200,       36030
 403,      80601,          201,       36030
 404,      81003,          202,       36531
 405,      81406,          205,       37032
 406,      81810,          205,       37531
 407,      82215,          205,       37031
 408,      82621,          205,       37031
 409,      83028,          205,       38533
 410,      83436,          205,       38533
 411,      83845,          205,       37531
 412,      84255,          207,       38032
 413,      84666,          210,       38533
 414,      85078,          210,       39033
 415,      85491,          210,       39033
 416,      85905,          210,       39033
 417,      86320,          210,       39033
 418,      86736,          210,       38532
 419,      87153,          210,       39033
 420,      87571,          211,       39534
 421,      87990,          211,       39533
 422,      88410,          211,       39533
 423,      88831,          211,       40034
 424,      89253,          212,       40534
 425,      89676,          212,       40534
 426,      90100,          212,       41035
 427,      90525,          212,       41535
 428,      90951,          212,       41535
 429,      91378,          213,       41035
 430,      91806,          213,       42036
 431,      92235,          213,       42036
 432,      92665,          213,       42035
 433,      93096,          213,       42036
 434,      93528,          214,       42035
 435,      93961,          214,       42536
 436,      94395,          214,       42036
 437,      94830,          214,       43036
 438,      95266,          214,       42536
 439,      95703,          214,       43036
 440,      96141,          214,       43537
 441,      96580,          214,       44538
 442,      97020,          216,       43537
 443,      97461,          216,       44038
 444,      97903,          216,       44037
 445,      98346,          216,       44538
 446,      98790,          216,       45539
 447,      99235,          216,       45538
 448,      99681,          216,       45038
 449,     100128,          216,       46039
 450,     100576,          216,       46540
 451,     101025,          217,       46540
 452,     101475,          219,       47040
 453,     101926,          219,       46039
 454,     102378,          219,       46039
 455,     102831,          219,       46540
 456,     103285,          220,       48040
 457,     103740,          220,       47040
 458,     104196,          220,       47040
 459,     104653,          220,       47540
 460,     105111,          221,       51043
 461,     105570,          222,       47540
 462,     106030,          224,       47541
 463,     106491,          224,       48040
 464,     106953,          224,       48541
 465,     107416,          224,       48041
 466,     107880,          224,       48541
 467,     108345,          224,       48541
 468,     108811,          224,       49042
 469,     109278,          224,       49542
 470,     109746,          224,       49041
 471,     110215,          224,       50042
 472,     110685,          225,       49542
 473,     111156,          226,       50042
 474,     111628,          226,       50043
 475,     112101,          226,       51544
 476,     112575,          226,       50543
 477,     113050,          228,       50543
 478,     113526,          228,       51544
 479,     114003,          228,       51043
 480,     114481,          229,       52545
 481,     114960,          230,       51543
 482,     115440,          233,       52044
 483,     115921,          233,       52044
 484,     116403,          233,       52545
 485,     116886,          234,       54046
 486,     117370,          235,       52044
 487,     117855,          235,       52545
 488,     118341,          235,       53545
 489,     118828,          236,       54046
 490,     119316,          236,       54046
 491,     119805,          236,       54046
 492,     120295,          237,       54547
 493,     120786,          237,       55547
 494,     121278,          238,       55047
 495,     121771,          238,       55047
 496,     122265,          238,       55047
 497,     122760,          238,       56549
 498,     123256,          238,       55547
